TT,Họ và tên,Mã nhân viên ,Căn cước công dân,Chức vụ công đoàn ,"Chức vụ, đơn vị công tác hiện nay","Ngày, tháng,
 năm sinh",,Dân tộc,Quê quán,Ngày vào Đảng,Học vấn phổ thông,Chuyên môn,Chính trị,Ngoại ngữ,Email,Điện thoại,"Bộ phận, phòng ban"
801,Trần Trọng Hữu,HT01466,079088017083,Công đoàn viên,"Nhân viên bảo trì, sửa chữa thiết bị mạng, máy tính hoặc thiết bị viễn thông (kỹ sư)",10/01/1988,,Kinh,Thành phố Hồ Chí Minh,,Đại học,,,huutt@mobifone.vn,0908100183,MN_HTNV_TTML VHKT&UCTT
802,Nguyễn Thanh Long,HT03543,075084013470,Công đoàn viên,Kỹ sư VHKT & UCTT mạng viễn thông,12/12/1984,,Kinh,Tỉnh Đồng Nai,,Đại học,,,longnt@mobifone.vn,0908855443,MN_HTNV_MBF Đồng Nai
803,Lê Hoài Phương,HT03545,075085002411,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,phuonglh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
804,Lê Viết Đỗ Quyên,HT03546,075185011704,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,,18/06/1985,Kinh,Tỉnh Đồng Nai,,Đại học,,,quyenlvd@mobifone.vn,0938668988,MN_HTNV_MBF Đồng Nai
805,Trần Tấn Trực,HT03547,075085002439,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,tructt@mobifone.vn,0908855439,MN_HTNV_MBF Đồng Nai
806,Lâm Văn Thảo,HT03548,075085002445,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,26/08/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,thaolv@mobifone.vn,0908260885,MN_HTNV_MBF Đồng Nai
807,Dương Tấn Khoa,HT03549,075085002437,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,khoadt@mobifone.vn,0908855437,MN_HTNV_MBF Đồng Nai
808,Thái Hữu Định,HT03550,075085002426,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,dinhth@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
809,Lê Minh Trí,HT03551,075085002417,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,trilm@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
810,Nguyễn Huy Cường,HT03552,075085002416,Công đoàn viên,Nhân viên VHKT & UCTT mạng viễn thông,04/09/1985,,Kinh,Tỉnh Đồng Nai,,Đại học,,,cuongnh@mobifone.vn,0908240985,MN_HTNV_MBF Đồng Nai
